package-1 ,dram ,package-0 ,dram ,
73.409,8.548,67.758,8.392,
70.991,8.51,65.57,8.325,
71.903,8.516,65.914,8.327,
70.894,8.513,65.617,8.327,
72.147,8.507,65.624,8.339,
71.94,8.547,67.593,8.376,
70.601,8.493,65.674,8.327,
70.369,8.533,65.984,8.357,
70.444,8.572,65.794,8.329,
70.146,8.545,65.677,8.334,
70.72,8.525,65.802,8.361,
71.224,8.538,66.131,8.385,
70.521,8.529,65.663,8.318,
70.356,8.561,66.012,8.346,
70.088,8.555,65.855,8.328,
70.559,8.575,66.258,8.369,
70.747,8.568,69.175,8.383,
70.65,8.558,66.679,8.369,
72.471,8.597,66.759,8.34,
70.251,8.518,65.67,8.332,
71.12,8.521,66.504,8.35,
71.628,8.542,65.898,8.354,
70.505,8.533,65.67,8.33,
71.029,8.552,66.092,8.336,
70.831,8.514,65.652,8.336,
69.907,8.53,66.266,8.343,
70.276,8.513,66.313,8.326,
71.818,8.539,65.682,8.328,
71.384,8.512,65.702,8.329,
71.363,8.511,65.872,8.318,
70.508,8.503,65.683,8.318,
70.881,8.514,65.821,8.322,
69.649,8.456,65.928,8.323,
70.348,8.512,65.695,8.322,
70.382,8.533,65.781,8.321,
69.856,8.499,65.902,8.329,
71.239,8.492,66.093,8.353,
71.467,8.498,65.6,8.306,
70.965,8.472,67.484,8.371,
71.467,8.481,65.686,8.329,
71.078,8.496,65.918,8.34,
71.248,8.484,65.931,8.323,
71.622,8.493,65.775,8.329,
71.104,8.494,65.724,8.342,
71.333,8.486,66.056,8.341,
71.011,8.502,65.822,8.327,
71.581,8.521,65.838,8.327,
71.496,8.496,65.927,8.318,
72.726,8.582,66.925,8.333,
71.502,8.501,65.603,8.319,
71.479,8.511,66.144,8.338,
71.226,8.505,65.725,8.321,
71.609,8.519,65.832,8.345,
71.353,8.52,65.989,8.334,
75.453,8.645,66.155,8.348,
71.062,8.526,65.958,8.34,
70.633,8.518,65.901,8.338,
72.069,8.529,65.946,8.383,
71.554,8.529,66.084,8.359,
71.462,8.52,65.901,8.376,
73.055,8.621,66.911,8.385,
70.557,8.522,65.668,8.342,
70.659,8.549,65.884,8.336,
70.413,8.518,65.918,8.34,
69.88,8.523,65.716,8.327,
70.279,8.516,66.013,8.374,
70.734,8.517,65.707,8.357,
71.365,8.572,65.695,8.34,
71.946,8.538,65.888,8.345,
71.483,8.533,65.709,8.332,
71.457,8.544,65.79,8.345,
71.843,8.552,67.808,8.378,
70.901,8.534,65.72,8.323,
71.714,8.529,65.688,8.34,
71.463,8.5,65.97,8.351,
71.515,8.531,66.117,8.383,
71.198,8.505,65.73,8.327,
70.995,8.526,65.962,8.332,
72.798,8.614,67.576,8.339,
71.48,8.527,65.863,8.344,
71.013,8.527,65.934,8.333,
71.683,8.535,65.704,8.34,
71.005,8.5,65.606,8.353,
71.541,8.514,66.042,8.384,
71.424,8.518,65.841,8.364,
70.881,8.486,65.917,8.366,
71.467,8.561,65.955,8.36,
71.144,8.572,66.261,8.373,
71.026,8.539,65.866,8.364,
70.527,8.508,66.539,8.394,
70.155,8.525,65.867,8.368,
71.637,8.53,67.251,8.379,
70.635,8.535,66.031,8.355,
70.318,8.527,65.707,8.349,
71.501,8.544,65.796,8.354,
71.192,8.481,65.956,8.343,
72.071,8.517,66.068,8.353,
71.427,8.51,65.624,8.336,
70.559,8.473,65.932,8.348,
71.099,8.521,65.775,8.386,
71.37,8.535,65.76,8.405,
72.058,8.534,67.487,8.401,
71.934,8.527,65.677,8.377,
71.419,8.51,65.766,8.363,
72.07,8.569,66.177,8.372,
70.781,8.523,66.131,8.373,
69.816,8.477,65.761,8.357,
70.539,8.522,66.025,8.36,
70.714,8.52,66.43,8.406,
71.251,8.513,67.058,8.404,
70.467,8.547,65.993,8.363,
70.194,8.535,65.736,8.365,
71.88,8.504,65.67,8.348,
71.238,8.531,66.15,8.361,
73.464,8.565,65.706,8.361,
73.363,8.624,66.432,8.382,
71.029,8.508,66.183,8.34,
71.219,8.548,65.836,8.332,
72.141,8.574,66.119,8.348,
71.224,8.517,66.039,8.33,
73.708,8.576,67.692,8.395,
71.539,8.533,65.799,8.321,
70.927,8.527,65.853,8.349,
71.47,8.555,65.841,8.366,
70.991,8.511,65.671,8.409,
72.541,8.586,66.153,8.385,
70.814,8.542,65.676,8.384,
70.253,8.502,65.667,8.359,
70.375,8.505,65.886,8.352,
71.995,8.402,66.227,8.364,
