power.draw [W]
227.24
207.18
180.12
188.25
232.39
206.51
180.18
184.76
243.85
205.74
172.26
185.81
219.25
204.56
170.08
186.45
230.21
203.62
169.05
187.3
251.05
210.47
172.62
188.16
209.58
187.69
171.91
187.59
228.75
211.99
171.13
188.16
254.38
212.11
80.96
187.79
219.99
212.36
191.55
188.51
236.27
212.16
184.96
188.41
252.46
212.17
179.64
188.6
232.11
211.96
178.75
188.22
236.55
212.15
176.58
188.32
249.53
212.44
180.39
185.04
232.39
212.05
179.9
185.7
238.17
212.33
179.74
186.92
240.27
211.99
178.78
157.31
236
212.15
173.28
186.92
242.49
212.05
177.15
187.68
227.52
212.27
177.06
187.59
224.73
211.99
176.88
187.97
251.8
211.41
175.54
187.94
218.75
211.53
169.52
188.27
231.14
211.15
177.06
188.35
257.46
210.91
176.82
188.54
231.74
96.54
175.99
188.44
237.03
212.25
173.47
188.65
250.62
212.35
177.56
188.35
233.85
212.24
177.25
184.84
239.99
212.84
108.66
185.82
241.08
212.16
170.77
186.54
229.89
212.52
196.72
187.26
248.92
212.59
183.15
187.29
216.67
212.55
180
187.97
229.41
211.99
185.03
187.97
258.6
212.47
177.19
126.65
224.07
212.18
176.31
186.92
234.15
212.18
175.26
187.78
246.48
211.97
168.86
187.97
234.23
212.23
176.77
188.08
237.41
211.51
176.69
188.53
232.8
211.9
175.64
188.25
234.86
211.71
172.24
188.16
246.56
211.77
177.1
188.16
209.71
211.14
176.87
188.35
237.26
210.38
176.58
188.44
251.57
199.55
173.84
188.44
232.62
209.05
177.14
184.85
233.75
208.69
177.25
185.51
240.37
207.6
176.49
186.25
232.95
206.41
176.21
187.21
239.04
207.18
172.43
187.89
227.31
206.15
85.96
187.81
230.02
205.32
191.55
188.22
251.75
204.03
186.35
162.9
218.24
209.24
179.23
187.97
235.77
212.9
176.11
188.08
245.99
212.92
180.39
188.43
228.7
212.93
179.26
188.25
240.34
213.18
176.6
188.25
231.49
212.71
175.07
188.54
233.69
212.37
169.88
188.82
252.27
212.92
177.33
188.75
221.04
212.92
176.88
188.62
229.35
212.46
175.74
185.61
248.92
212.63
171.66
186.25
235.43
94.74
177.11
187.11
237.57
212.42
177.24
187.21
231.4
212.33
176.6
187.4
230.77
212.55
174.88
187.87
245.53
211.97
171.47
188.35
211.02
211.9
177.15
188.44
232.42
211.77
177.26
188.44
255.05
211.99
176.11
92.95
222.32
213.1
173.45
84.93
234.92
212.28
81.36
175.39
248.04
211.76
201.05
192.26
234.61
211.58
189.73
192.08
241.75
211.42
183.67
192.55
230.83
210.92
181.44
190.56
227.06
210.73
179.64
190.05
256.19
210.66
180.02
190.39
225.62
209.44
179.74
191.23
235.18
208.69
178.94
191.51
248.72
207.71
175.36
191.79
234.42
206.51
180.22
192.06
239.13
140.04
180.17
192.01
226.53
92.09
179.38
192.35
234.76
91.52
174.75
192.4
254.99
164.06
172.26
192.7
234.36
208.41
177.25
192.51
229.7
209.63
177.25
191.46
253.66
208.56
176.12
190.02
235.54
208.68
166.69
190.98
235.09
208.5
177.14
186.46
239.86
207.33
177.25
190.02
236.77
206.32
175.93
190.96
245.71
205.15
172.9
191.35
217.6
203.96
177.29
191.92
233.29
207.89
190.79
191.79
252.47
212.42
184.4
192.46
235.36
212.06
178.41
192.17
237.54
212.9
174.23
192.63
230.84
212.61
180.6
193.01
236.2
212.72
180.02
192.85
250.45
211.97
178.42
191.7
219.99
212.73
175.92
188.35
233.46
212.24
177.14
184.85
251.46
212.54
177.44
185.7
236.37
95.87
176.18
186.63
240.99
211.73
174.13
186.92
228.84
212.23
174.23
187.87
230.91
211.99
177.43
187.78
255.68
211.65
177.07
182.4
236.69
211.77
175.58
185.42
236.29
210.96
170.64
185.79
244.1
210.47
177.06
186.45
230.91
210.85
177.15
187.02
248.14
210.38
175.93
187.49
218
209.82
172.65
187.4
233.69
209.18
93.46
188.08
254.74
209.33
194.09
188.4
233.65
208.56
185.29
188.35
233.65
207.93
175.64
188.54
242.54
207.45
171.95
188.75
233.66
206.79
177.14
188.35
251.09
205.54
177.07
188.55
218.6
203.78
176.24
188.44
231.78
203.92
174.14
185.31
252.66
211.95
177.08
186.73
232.01
204.32
177.52
187.21
240.46
211.67
176.79
187.21
234.4
211.61
175.08
184.77
233.37
211.9
169.21
186.83
257.54
211.09
177.08
187.59
226.13
211.24
177.07
187.68
235.83
210.77
175.74
187.98
246.85
210.47
172.14
188.25
235.34
210.26
177
187.75
246.56
209.78
176.58
188.16
217.51
209.44
176.68
188.54
236.2
209.21
174.03
188.72
259.03
208.39
177.65
188.41
238.59
207.65
152.09
188.35
236.96
206.7
190.07
184.95
244.76
206.67
183.8
185.79
233.08
205.54
182.4
186.45
247.31
204.24
173.27
187.4
214.04
203.5
180.22
187.21
236.59
213.49
179.55
187.6
255.59
94.14
176.62
188
236.86
212.65
173.97
186.47
238.2
212.9
177.25
187.7
232.91
212.61
177.33
187.97
237.35
212.9
176.98
187.78
258.2
212.79
175.26
188.54
220.28
212.82
162.41
188.25
231.29
212.43
177.43
188.16
254.84
212.44
177.07
188.63
237.78
212.48
176.39
188.16
241.54
212.35
172.33
184.56
225.19
212.61
177.62
185.7
232.05
213.03
177.35
186.92
256.21
211.66
176.69
187.18
239.57
211.77
173.95
187.49
237.48
211.61
96.57
187.79
245.87
211.7
193.43
188.13
234.8
211.01
185.57
188.33
249.31
210.54
178.32
188.06
219.24
210.86
174.88
188.35
234.19
154.91
180.5
185.72
256.8
209.57
180.02
187.97
236.22
212.8
179.63
187.78
238.48
212.82
178.47
188.35
244.48
212.61
170.16
187.97
232.24
213.11
177.54
188.54
243.63
212.54
177.33
188.41
215.9
212.84
176.34
188.44
234.32
212.6
173.66
188.55
257.62
213.07
177.27
184.56
234.21
212.74
176.98
185.61
238.58
212.52
177.06
186.45
237.44
212.08
174.88
187.11
237.26
212.23
174.32
187.3
260.53
211.93
177.1
187.4
227.31
212.37
176.6
187.89
233.64
211.76
175.45
188.06
249.96
211.04
170.74
188.06
237.49
211.33
81.82
188.19
240.89
211.42
199.66
187.75
236.48
210.95
185.29
188.3
230.39
113.83
184.82
188.16
258.38
209.06
179.84
188.41
225.19
208.5
178.85
188.35
236.96
207.62
175.36
186.45
251.47
206.11
180.02
185.47
232.81
204.62
179.84
186.16
242.56
203.66
179.92
186.92
226.43
209.5
178.37
187.4
233.18
213.11
170.45
187.49
258.1
213.44
177.71
187.84
238.57
213.74
177.25
187.89
235.93
213.93
176.6
188.06
250.4
213.29
173.18
188.44
232.62
212.63
177.37
188.25
241.56
213.21
177.08
188.53
217.24
213.22
177.25
188.35
234.61
213.19
175.26
185.03
257.01
213.46
